@relation Gestures

@attribute Mean_GyroX numeric
@attribute Max_GyroX numeric
@attribute Min_Gyrox numeric
@attribute RMS_Gyrox numeric
@attribute Mean_AcclY numeric
@attribute Max_AcclY numeric
@attribute Min_AcclY numeric
@attribute RMS_AcclY numeric
@attribute Mean_AcclZ numeric
@attribute Max_AcclZ numeric
@attribute Min_AcclZ numeric
@attribute RMS_AcclZ numeric
@attribute Mean_AcclX numeric
@attribute Max_AcclX numeric
@attribute Min_AcclX numeric
@attribute RMS_AcclX numeric
@attribute Mean_GyroY numeric
@attribute Max_GyroY numeric
@attribute Min_GyroY numeric
@attribute RMS_GyroY numeric
@attribute Mean_GyroZ numeric
@attribute Max_GyroZ numeric
@attribute Min_GyroZ numeric
@attribute RMS_GyroZ numeric
@attribute result {straight,forward,straight_to_forward,forward_to_straight}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight
0.009282,0.074053,-0.096618,0.044153,46.895611,48.363426,46.087856,46.90012,38.963383,41.113411,37.617695,38.975517,-51.525246,-49.453323,-52.876244,51.536304,0.012081,0.06974,-0.047734,0.035389,-0.029165,0.04728,-0.111966,0.051664,straight
0.009282,0.074053,-0.096618,0.044153,46.895611,48.363426,46.087856,46.90012,38.963383,41.113411,37.617695,38.975517,-51.525246,-49.453323,-52.876244,51.536304,0.012081,0.06974,-0.047734,0.035389,-0.029165,0.04728,-0.111966,0.051664,straight
0.009282,0.074053,-0.096618,0.044153,46.895611,48.363426,46.087856,46.90012,38.963383,41.113411,37.617695,38.975517,-51.525246,-49.453323,-52.876244,51.536304,0.012081,0.06974,-0.047734,0.035389,-0.029165,0.04728,-0.111966,0.051664,straight
0.009282,0.074053,-0.096618,0.044153,46.895611,48.363426,46.087856,46.90012,38.963383,41.113411,37.617695,38.975517,-51.525246,-49.453323,-52.876244,51.536304,0.012081,0.06974,-0.047734,0.035389,-0.029165,0.04728,-0.111966,0.051664,straight
0.008086,0.123176,-0.639778,0.152724,46.228809,49.922607,41.858524,46.25816,40.143482,43.900402,38.071663,40.174759,-51.292274,-46.156818,-55.247581,51.320404,0.007096,0.115467,-0.090505,0.046273,0.013633,0.242346,-0.151754,0.091075,straight
0.008086,0.123176,-0.639778,0.152724,46.228809,49.922607,41.858524,46.25816,40.143482,43.900402,38.071663,40.174759,-51.292274,-46.156818,-55.247581,51.320404,0.007096,0.115467,-0.090505,0.046273,0.013633,0.242346,-0.151754,0.091075,straight
0.008086,0.123176,-0.639778,0.152724,46.228809,49.922607,41.858524,46.25816,40.143482,43.900402,38.071663,40.174759,-51.292274,-46.156818,-55.247581,51.320404,0.007096,0.115467,-0.090505,0.046273,0.013633,0.242346,-0.151754,0.091075,straight
0.008086,0.123176,-0.639778,0.152724,46.228809,49.922607,41.858524,46.25816,40.143482,43.900402,38.071663,40.174759,-51.292274,-46.156818,-55.247581,51.320404,0.007096,0.115467,-0.090505,0.046273,0.013633,0.242346,-0.151754,0.091075,straight
